"TOA5","CR1000","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","17537","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Corrente_FV_Avg","FP_FV_Avg","Demanda_Avg","Excedente_Avg","Compra_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","A","adm","W","W","W","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-02-27 00:00:00",0,27.11,6.37,0,0,0,0,0,0,0,0,1.875,1457,0,1457,217.9
"2022-02-27 00:01:00",0,27.04,6.352,0,0,0,0,0,0,0,0,2.204,1442,0,1442,217.4
"2022-02-27 00:02:00",0,27.01,6.382,0,0,0,0,0,0,0,0,1.75,1444,0,1444,216
"2022-02-27 00:03:00",0,27.08,6.389,0,0,0,0,0,0,0,0,1.92,1448,0,1448,218
"2022-02-27 00:04:00",0,27.1,6.427,0,0,0,0,0,0,0,0,1.852,1450,0,1450,218.6
"2022-02-27 00:05:00",0,27.08,6.23,0,0,0,0,0,0,0,0,1.909,1451,0,1451,219.2
"2022-02-27 00:06:00",0,27.1,6.182,0,0,0,0,0,0,0,0,1.761,1451,0,1451,218.9
"2022-02-27 00:07:00",0,27.08,6.304,0,0,0,0,0,0,0,0,1.829,1443,0,1443,219.1
"2022-02-27 00:08:00",0,27.09,6.29,0,0,0,0,0,0,0,0,1.75,1444,0,1444,218.5
"2022-02-27 00:09:00",0,27.1,6.256,0,0,0,0,0,0,0,0,2.011,1443,0,1443,218.9
"2022-02-27 00:10:00",0,27.09,6.209,0,0,0,0,0,0,0,0,1.989,1437,0,1437,219.2
"2022-02-27 00:11:00",0,27.06,6.291,0,0,0,0,0,0,0,0,2.045,1428,0,1428,219.5
"2022-02-27 00:12:00",0,27.11,6.151,0,0,0,0,0,0,0,0,1.761,1437,0,1437,219.3
"2022-02-27 00:13:00",0,27.09,6.15,0,0,0,0,0,0,0,0,2.114,1438,0,1438,219.8
"2022-02-27 00:14:00",0,27.04,6.197,0,0,0,0,0,0,0,0,1.977,1430,0,1430,219.7
"2022-02-27 00:15:00",0,27.04,6.021,0,0,0,0,0,0,0,0,1.909,1427,0,1427,219.7
"2022-02-27 00:16:00",0,27.05,6.298,0,0,0,0,0,0,0,0,1.739,1440,0,1440,218.8
"2022-02-27 00:17:00",0,27.03,6.279,0,0,0,0,0,0,0,0,1.864,1425,0,1425,218.9
"2022-02-27 00:18:00",0,27.02,6.304,0,0,0,0,0,0,0,0,1.977,1336,0,1336,218.8
"2022-02-27 00:19:00",0,27,6.368,0,0,0,0,0,0,0,0,1.67,1335,0,1335,218.2
"2022-02-27 00:20:00",0,26.99,6.455,0,0,0,0,0,0,0,0,1.829,1320,0,1320,218.4
"2022-02-27 00:21:00",0,27,6.398,0,0,0,0,0,0,0,0,1.898,1328,0,1328,219
"2022-02-27 00:22:00",0,26.96,6.409,0,0,0,0,0,0,0,0,1.739,1334,0,1334,218.5
"2022-02-27 00:23:00",0,26.94,6.423,0,0,0,0,0,0,0,0,2.136,1326,0,1326,219.8
"2022-02-27 00:24:00",0,26.95,6.42,0,0,0,0,0,0,0,0,1.795,1325,0,1325,219.5
"2022-02-27 00:25:00",0,26.94,6.36,0,0,0,0,0,0,0,0,1.613,1332,0,1332,219.4
"2022-02-27 00:26:00",0,26.96,6.491,0,0,0,0,0,0,0,0,1.716,1325,0,1325,219.8
"2022-02-27 00:27:00",0,26.98,6.523,0,0,0,0,0,0,0,0,2.011,1328,0,1328,219.2
"2022-02-27 00:28:00",0,26.93,6.625,0,0,0,0,0,0,0,0,2.057,1329,0,1329,218.5
"2022-02-27 00:29:00",0,26.92,6.529,0,0,0,0,0,0,0,0,1.773,1344,0,1344,218.2
"2022-02-27 00:30:00",0,26.95,6.468,0,0,0,0,0,0,0,0,2.068,1444,0,1444,218
"2022-02-27 00:31:00",0,26.94,6.467,0,0,0,0,0,0,0,0,2.114,1431,0,1431,217.8
"2022-02-27 00:32:00",0,26.91,6.518,0,0,0,0,0,0,0,0,1.841,1429,0,1429,218
"2022-02-27 00:33:00",0,26.92,6.548,0,0,0,0,0,0,0,0,1.886,1423,0,1423,218
"2022-02-27 00:34:00",0,26.91,6.666,0,0,0,0,0,0,0,0,1.83,1427,0,1427,218.1
"2022-02-27 00:35:00",0,26.89,6.65,0,0,0,0,0,0,0,0,2.034,1431,0,1431,218.3
"2022-02-27 00:36:00",0,26.9,6.624,0,0,0,0,0,0,0,0,1.841,1429,0,1429,218.1
"2022-02-27 00:37:00",0,26.92,6.612,0,0,0,0,0,0,0,0,1.807,1427,0,1427,218.1
"2022-02-27 00:38:00",0,26.91,6.578,0,0,0,0,0,0,0,0,1.75,1430,0,1430,217.9
